u,v,key,osmid,highway,oneway,service,reversed,length,grade,grade_abs,slope_pct,walk_speed_kmh,walk_time_s,walk_time_min,elev_u,elev_v,elev_gain_m,elev_loss_m,lanes,maxspeed,name,ref,access,bridge,width,junction,tunnel
2624885402,245018000,0,256863486,footway,False,,False,4.730632684198557,0.0,0.0,0.0,5.036742124615245,3.3812089723405774,0.05635348287234296,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
2624885402,2624885400,0,152273420,footway,False,,False,92.27280914150529,0.0,0.0,0.0,5.036742124615245,65.95178087160743,1.0991963478601237,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
292026724,2624885400,0,26624922,service,False,,True,3.0469339219437703,0.0,0.0,0.0,5.036742124615245,2.177789104070022,0.0362964850678337,426.8715057373047,426.8715057373047,0.0,0.0,,,Via alla Veduta,,,,,,
292026724,245018000,0,25792391,tertiary,False,,True,94.14624888871744,0.0,0.0,0.0,5.036742124615245,67.29081767815804,1.1215136279693005,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
2624885411,6571959836,0,256863488,footway,False,,False,5.479583921111689,0.0,0.0,0.0,5.036742124615245,3.916520168780526,0.0652753361463421,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
2624885411,245018000,0,"[256863488, 256863486]",footway,False,,True,109.2245656644697,0.0,0.0,0.0,5.036742124615245,78.06801036535656,1.301133506089276,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
245018004,3920435106,0,25792391,tertiary,False,,False,16.16633939584657,0.0,0.0,0.0,5.036742124615245,11.554854385064125,0.19258090641773543,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018004,245018006,0,25792391,tertiary,False,,True,154.2113937713616,0.0,0.0,0.0,5.036742124615245,110.22224363319184,1.8370373938865305,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
245018004,3920435170,0,388857955,track,False,,True,125.85529243623822,0.0,0.0,0.0,5.036742124615245,89.95478457318642,1.4992464095531068,426.8715057373047,426.8715057373047,0.0,0.0,,,,,,,,,
3920435106,11133645954,0,25792391,tertiary,False,,False,232.3136390521537,0.0,0.0,0.0,5.036742124615245,166.04564615299623,2.7674274358832704,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
3920435106,245018004,0,25792391,tertiary,False,,True,16.16633939584657,0.0,0.0,0.0,5.036742124615245,11.554854385064125,0.19258090641773543,426.8715057373047,426.8715057373047,0.0,0.0,2,,Via alla Veduta,,,,,,
