service_row,service_name,service_address,rank,score,poi_name,poi_address,latitude,longitude,poi_source
21,AGRITUR 8 GRAPPOLI,"Via Graffiano, 14/E – TN",1,100.0,8 Grappoli Agritur,Via Graffiano 14\u002FE E,46.06205425840148,11.148904052792833,foursquare_povo.geojson
22,AGRITUR LA TENUTA ,"via VIA della Selva, 27A - 38123 - Trento (TN) - ITALIA",1,76.43,La Cassa Rurale Comano Terme,Via Marconi 4,46.063032598284465,11.15567816158737,foursquare_povo.geojson
23,AGRITUR PONTE ALTO, Località Ponte Alto Via alla Cascata 27 – Loc.Povo,1,100.0,Agritur Ponte Alto,Via alla Cascata 27,46.072605740515804,11.152167514564578,foursquare_povo.geojson
23,AGRITUR PONTE ALTO, Località Ponte Alto Via alla Cascata 27 – Loc.Povo,2,73.07,Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Piazza Manci 17,46.065662,11.154894,commercio_e_servizi_di_prossimita.csv
24,VIGILI DEL FUOCO,"Via Sabbioni 22/1, Trento, Italy",1,100.0,Vigili Del Fuoco Volontari Povo,Via Sabbioni 1,46.06789470125595,11.152926111628863,foursquare_povo.geojson
24,VIGILI DEL FUOCO,"Via Sabbioni 22/1, Trento, Italy",2,74.14,A&B Le Terrazze Del Sale' - Apartment And Breakfast,Via Alla Val n.61,46.060188483996434,11.152226082577041,foursquare_povo.geojson
25,SCUOLA PRIMARIA PROVINCIALE,"VIA DEI RIVI, 6",1,78.35,Scuola Materna - Povo di Trento,Via Pantè 1,46.064745,11.151806,foursquare_povo.geojson
25,SCUOLA PRIMARIA PROVINCIALE,"VIA DEI RIVI, 6",2,73.38,Istituto Comprensivo Scuola Elementare Media Trento 1,Via Znojmo 24,46.053254407148245,11.1509378457265,foursquare_povo.geojson
25,SCUOLA PRIMARIA PROVINCIALE,"VIA DEI RIVI, 6",3,72.36,Istituto Comprensivo Scuola Elementare Media Trento 1,Via Gabbiolo 47,46.05553051313047,11.152749491629937,foursquare_povo.geojson
26,CABINA PER FOTOTESSERE,"VIA CANCELLIERA, 59 -  00072 ARICCIA RM",1,100.0,Cabina Fototessere,-,46.064386,11.152402,commercio_e_servizi_di_prossimita.csv
26,CABINA PER FOTOTESSERE,"VIA CANCELLIERA, 59 -  00072 ARICCIA RM",2,75.21,Banca per il Trentino Alto Adige - Bank für Trentino Südtirol,Piazza Manci 17,46.065662,11.154894,commercio_e_servizi_di_prossimita.csv
26,CABINA PER FOTOTESSERE,"VIA CANCELLIERA, 59 -  00072 ARICCIA RM",3,74.14,Scuola per l'infanzia M. Chiara Conotter,None,46.07702,11.15657,foursquare_povo.geojson
27,MERCATO SETTIMANALE DI PIAZZA MANCI,Piazza Manci - Povo,1,100.0,Mercato Settimanale,Piazza Manci - Povo,46.066002,11.154465,commercio_e_servizi_di_prossimita.csv
27,MERCATO SETTIMANALE DI PIAZZA MANCI,Piazza Manci - Povo,2,90.14,Compagnia di S.Orsola delle Figlie di S.Angela Merici della Diocesi di,Piazza Giannantonio Manci 15,46.065765581246055,11.155003129633155,foursquare_povo.geojson
27,MERCATO SETTIMANALE DI PIAZZA MANCI,Piazza Manci - Povo,3,90.14,Cassa Rurale Di Trento,Piazza Manci 17,46.06570760871926,11.154961454648857,foursquare_povo.geojson
27,MERCATO SETTIMANALE DI PIAZZA MANCI,Piazza Manci - Povo,4,90.14,Cassa di Trento Lavis Mezzocorona Valle di Cembra e Alta Vallagarina,Piazza Giannantonio Manci 17,46.06570760871926,11.154961454648857,foursquare_povo.geojson
27,MERCATO SETTIMANALE DI PIAZZA MANCI,Piazza Manci - Povo,5,77.14,Piazza Manci,None,46.06602499605463,11.154492069816758,foursquare_povo.geojson
28,SCUOLA EQUIPARATA DELL'INFANZIA,"VIA PANTE', 1",1,100.0,Scuola equiparata dell'infanzia di Povo,Via Pantè 1,46.064807,11.153469,foursquare_povo.geojson
28,SCUOLA EQUIPARATA DELL'INFANZIA,"VIA PANTE', 1",2,90.14,Scuola Materna - Povo di Trento,Via Pantè 1,46.064745,11.151806,foursquare_povo.geojson
28,SCUOLA EQUIPARATA DELL'INFANZIA,"VIA PANTE', 1",3,76.96,Bar di Ingegneria dell'Università degli Studi di Trento,Via Mesiano 77,46.06636727452834,11.140654413991328,foursquare_povo.geojson
