stop_cluster_id,stop_name,stop_ids,feed_sources,linee_urbane,linee_extraurbane,passaggi_urbani,passaggi_extraurbani,frequenza_urbana_min,frequenza_extraurbana_min,passaggi_totali,tipo_servizio,graph_node,snap_dist_m
1,Borino,9,urbano,5,,27,0,29.346153846153847,,27,urbano,436656077,3.4079142514034335
2,"Gabbiolo ""Campo Sportivo""","46,47",urbano,13,,39,0,40.111111111111114,,39,urbano,8977501175,20.68793938312801
3,"Mesiano ""Fac. Ingegneria""","145,146",urbano,5,,82,0,17.976190476190474,,82,urbano,928552604,23.716251450021506
4,"Mesiano ""Stazione Fs""","147,148,4616","extraurbano,urbano",5,B450,82,6,17.976190476190474,125.0,88,misto,3134690112,19.755483862873845
5,Povo Valoni,149,urbano,5,,40,0,19.564102564102566,,40,urbano,9044958459,33.35578402404208
6,Povo Valoni,150,urbano,5,,43,0,17.976190476190474,,43,urbano,2799582556,8.348396818403343
7,Villazzano Valnigra,"159,160",urbano,13,,39,0,40.111111111111114,,39,urbano,322508553,24.11081654405217
8,Oltrecastello,161,urbano,5,,54,0,14.471698113207546,,54,urbano,274232819,13.659846127735975
9,Piazza di Fiera,165,urbano,5,,39,0,19.55263157894737,,39,urbano,10275626079,889.3657421724074
10,S.Francesco Porta Nuova,166,urbano,5,,39,0,19.55263157894737,,39,urbano,10275626079,655.6958302065647
11,Ponte Lodovico,174,urbano,5,,39,0,19.55263157894737,,39,urbano,13173229823,11.645187118894386
12,Ponte Lodovico,175,urbano,5,,43,0,17.976190476190474,,43,urbano,928539085,34.089698134894924
