stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding,passaggi,prime_departure_s,last_departure_s,linee,frequenza_media_min,prima_corsa,ultima_corsa,graph_node,snap_dist
176,21745x,"Venezia ""Port'aquila""",,46.069863,11.128240,10110,2,43,25560,70860,5,17.976190476190474,07:06,19:41,11140398144,562.4019982951311
179,25505z,Spré Pinara,,46.067490,11.161268,10110,1,27,25500,71280,5,29.346153846153847,07:05,19:48,1999373974,14.474202841708047
180,25505x,Spré Pinara,,46.067189,11.160763,10110,1,27,25980,71880,5,29.423076923076923,07:13,19:58,1999373944,15.307362875144786
181,25005z,"Povo ""Casa di Riposo""",,46.065739,11.159706,10110,1,27,25500,71280,5,29.346153846153847,07:05,19:48,4179375853,6.593378859523539
182,25005x,"Povo ""Casa di Riposo""",,46.065543,11.159557,10110,1,27,26100,72000,5,29.423076923076923,07:15,20:00,4215428976,13.042654796878047
183,25010z,"Povo ""Centro Civico""",,46.064110,11.151992,10110,1,47,25320,71100,"13,5",16.58695652173913,07:02,19:45,7661335585,16.29101381805929
184,25010x,"Povo ""Centro Civico""",,46.063870,11.151952,10110,2,45,26280,70920,"13,5",16.90909090909091,07:18,19:42,7661335586,4.9123075498583
185,25035z,Povo S.Agata,,46.066341,11.156734,10110,1,59,25380,71160,"13,5",13.155172413793103,07:03,19:46,275607178,16.614511031968576
186,25030z,Povo Piazza Manci,,46.065879,11.154677,10110,1,59,25380,71160,"13,5",13.155172413793103,07:03,19:46,4179375878,7.614988530857776
187,25030x,Povo Piazza Manci,,46.065939,11.154528,10110,2,56,26220,70860,"13,5",13.527272727272727,07:17,19:41,4179376097,13.360505696087746
188,25015z,"Povo ""Fac. Scienze""",,46.063156,11.150091,10110,1,28,25260,71040,5,28.25925925925926,07:01,19:44,6838225174,10.919866858802333
189,25015x,"Povo ""Fac. Scienze""",,46.063282,11.150174,10110,1,26,26340,70440,5,29.4,07:19,19:34,6838225174,21.872223453450975
190,25020z,"Povo ""Polo Sociale""",,46.065460,11.158013,10110,2,27,25440,71220,5,29.346153846153847,07:04,19:47,4179375795,8.40903958807329
191,25020x,"Povo ""Polo Sociale""",,46.065689,11.157889,10110,1,26,26160,70260,5,29.4,07:16,19:31,4215429094,2.8366019232270223
202,20120c,"Piazza Dante ""Pal. Regione""",,46.071751,11.121400,10110,1,19,26820,70200,13,40.166666666666664,07:27,19:30,11140398144,1114.8707994493955
215,25040z,Povo Salé,,46.062025,11.151318,10110,1,47,25320,71100,"13,5",16.58695652173913,07:02,19:45,7716169350,27.23718588735701
216,25040x,Povo Salé,,46.062005,11.150887,10110,2,45,26280,70920,"13,5",16.90909090909091,07:18,19:42,7716169350,8.789845186450272
217,21765z,"Verona ""S.Bartolameo""",,46.050654,11.130531,10110,1,20,26160,71880,13,40.10526315789474,07:16,19:58,13894569834,496.5900845404452
218,21765x,"Verona ""S.Bartolameo""",,46.051053,11.130406,10110,1,20,26160,71940,13,40.1578947368421,07:16,19:59,11709342276,487.0099271118139
226,25810e,San Rocco Torricelle,,46.038494,11.145576,10110,2,39,25680,71460,13,20.07894736842105,07:08,19:51,365500076,745.2361468096568
227,25805-,San Rocco Piazza,,46.036260,11.146204,10110,1,39,25620,71400,13,20.07894736842105,07:07,19:50,365500076,804.5382172004942
243,25510z,Spré S.Lucia,,46.069410,11.161625,10110,2,27,25560,71340,5,29.346153846153847,07:06,19:49,10249784369,1.6239172057311548
244,25510x,Spré S.Lucia,,46.069213,11.161184,10110,2,27,25980,71880,5,29.423076923076923,07:13,19:58,274232809,17.834385663702278
247,20125p,"Piazza Dante ""Stazione Fs""",,46.071756,11.119511,10110,1,60,25440,71940,"13,5",13.135593220338983,07:04,19:59,11140398144,1258.3598527007719
276,21645x,"Sanzio ""Castello""",,46.071903,11.126008,10110,1,43,25620,70920,5,17.976190476190474,07:07,19:42,11140398144,774.6161078588605
310,21240z,Conci De Riccabona,,46.039514,11.140832,10110,2,19,26520,69840,13,40.111111111111114,07:22,19:24,322510604,1015.8227166772025
311,21240x,Conci De Riccabona,,46.039362,11.140403,10110,1,20,25800,71580,13,40.1578947368421,07:10,19:53,322510604,1052.8773381360018
312,21235z,Conci Ferrovia,,46.039317,11.137726,10110,2,19,26460,69780,13,40.111111111111114,07:21,19:23,8917536641,1119.74698291624
313,21235x,Conci Ferrovia,,46.039824,11.137235,10110,2,20,25860,71640,13,40.1578947368421,07:11,19:54,8917536641,1067.702424385367
324,25610z,"Villazzano ""Villa De Mersi""",,46.048201,11.143371,10110,1,19,26820,70140,13,40.111111111111114,07:27,19:29,2238537071,184.268177864436
340,25815z,Ss 349 Pozzata,,46.039510,11.144092,10110,2,39,25560,71340,13,20.07894736842105,07:06,19:49,322510604,785.446857986838
348,21360z,Giusti Pascoli,,46.060282,11.118954,10110,1,20,25740,71460,13,40.10526315789474,07:09,19:51,10275626079,1367.3054253026835
349,21355x,"Giusti ""Arcivescovile""",,46.061521,11.119038,10110,1,19,26460,69840,13,40.166666666666664,07:21,19:24,10275626079,1305.138259853096
382,21490z,Menguzzato Al Casteller,,46.038132,11.134411,10110,2,19,26400,69720,13,40.111111111111114,07:20,19:22,8917536641,1296.1399582698798
383,21485z,"Menguzzato ""Centro Civico""",,46.040399,11.131724,10110,1,19,26340,69660,13,40.111111111111114,07:19,19:21,8917536641,1142.2030603774735
384,21485x,"Menguzzato ""Centro Civico""",,46.040190,11.132068,10110,1,20,25980,71760,13,40.1578947368421,07:13,19:56,8917536641,1149.9097837992592
385,21490x,Menguzzato Al Casteller,,46.038060,11.134171,10110,1,20,25920,71700,13,40.1578947368421,07:12,19:55,8917536641,1308.9835003969363
401,21305x,F.Lli Perini 3 Novembre,,46.060865,11.124266,10110,1,19,26400,69780,13,40.166666666666664,07:20,19:23,10275626079,979.2783360302619
